business_id,Score,inspection_date
4127,79,20140620
4158,81,20140326
4462,84,20140625
4479,84,20140325
4502,77,20140501
4511,76,20140430
4588,68,20140304
4598,84,20140314
4614,72,20140617
4621,70,20140602
4622,81,20140415
4638,84,20140430
4643,71,20140523
4661,82,20140613
4668,79,20140501
4687,82,20140124
4749,73,20140312
4762,82,20140603
4803,78,20140311
4846,83,20140513
4907,82,20140324
4914,78,20140513
4935,79,20140411
4938,84,20140609
4963,81,20140610
5010,73,20140501
5129,77,20140415
5140,72,20140102
5258,82,20140220
5633,83,20140408
5654,73,20140206
6619,84,20140114
6729,84,20140602
6732,79,20140612
6734,76,20140515
6739,79,20140527
6768,81,20140109
6860,84,20140606
6944,69,20140227
6948,79,20140520
7033,81,20140620
7207,84,20140404
7216,64,20140603
7361,78,20140204
7512,81,20140123
7638,83,20140515
7736,82,20140113
7738,58,20140528
7747,84,20140312
7755,84,20140122
7772,74,20140611
7796,71,20140515
7856,68,20140410
8821,84,20140219
9183,82,20140522
9273,82,20140206
9352,80,20140115
9456,80,20140505
9631,79,20140425
9679,75,20140110
9796,72,20140204
10170,79,20140626
10170,78,20140108
10238,84,20140611
10363,82,20140114
10470,81,20140610
10625,84,20140529
10875,70,20140206
10886,83,20140309
10990,81,20140115
11034,81,20140325
11613,83,20140315
12285,83,20140630
13274,70,20140320
14951,80,20140605
15300,83,20140618
16435,84,20140226
16513,81,20140519
16806,71,20140212
17570,68,20140620
18369,74,20140318
18686,81,20140107
18800,81,20140127
18874,84,20140424
18901,75,20140421
18921,84,20140226
19055,84,20140227
19076,83,20140115
19146,73,20140616
19271,80,20140521
19641,80,20140603
21921,80,20140603
23701,73,20140514
23703,72,20140219
24279,80,20140528
24457,84,20140624
24572,72,20140610
26005,71,20140423
26340,72,20140227
26348,80,20140305
27167,72,20140401
27680,79,20140401
27793,80,20140418
27949,83,20140618
28035,70,20140418
28453,80,20140107
28963,82,20140306
32170,75,20140610
32570,81,20140603
32671,72,20140611
32698,80,20140124
32736,83,20140611
32925,80,20140519
32925,73,20140115
32992,67,20140627
33077,75,20140110
33436,70,20140225
33442,84,20140416
33446,74,20140527
33641,82,20140617
33709,82,20140327
33748,80,20140204
33802,80,20140108
33983,77,20140108
34066,83,20140521
34079,70,20140514
34142,83,20140514
34221,70,20140501
34585,70,20140603
34611,74,20140512
34676,76,20140106
35078,82,20140221
35507,73,20140307
35671,75,20140403
35702,84,20140529
35702,83,20140113
35868,77,20140602
35884,80,20140618
35963,79,20140416
35989,83,20140212
36014,82,20140130
36022,78,20140303
36108,62,20140307
36169,74,20140325
36589,75,20140306
36699,77,20140317
36744,83,20140616
36745,77,20140219
36844,74,20140610
36875,84,20140219
36928,69,20140303
37090,74,20140110
37151,80,20140514
37152,81,20140617
37231,76,20140508
37237,82,20140507
37398,68,20140123
37482,84,20140626
37590,84,20140407
37879,77,20140331
37882,64,20140213
37969,66,20140311
38070,73,20140514
38201,80,20140331
38258,83,20140612
38427,82,20140213
38428,84,20140519
38442,81,20140310
38458,84,20140612
38530,81,20140417
38564,73,20140519
38698,83,20140203
38917,81,20140325
39127,83,20140416
39176,84,20140305
39220,81,20140429
39396,78,20140602
39398,83,20140317
39608,75,20140418
39693,82,20140507
39776,82,20140319
40044,80,20140430
40144,84,20140325
57552,81,20140328
57579,78,20140512
57606,65,20140610
57653,78,20140303
58659,76,20140228
58673,81,20140617
58735,76,20140124
59178,77,20140310
59250,83,20140624
59338,65,20140114
59396,72,20140306
59515,83,20140624
59515,66,20140103
59577,80,20140603
59691,73,20140219
59746,83,20140102
59828,62,20140123
59872,76,20140429
60115,83,20140609
60115,79,20140121
60331,83,20140521
60354,77,20140121
60380,83,20140321
60472,73,20140416
60484,78,20140609
60644,81,20140214
60697,84,20140618
60710,84,20140312
60963,84,20140110
60985,80,20140609
61010,81,20140225
61161,76,20140528
61161,80,20140205
61351,75,20140527
61391,60,20140409
61494,77,20140522
61504,82,20140204
61669,83,20140218
61697,83,20140520
61749,76,20140218
61789,68,20140304
61799,84,20140602
61989,78,20140410
62064,73,20140108
62178,75,20140228
62241,83,20140612
62327,83,20140429
62330,72,20140429
62443,79,20140203
62548,69,20140603
62632,83,20140514
62708,76,20140312
62735,82,20140317
62765,74,20140623
62769,72,20140319
62849,73,20140409
62882,82,20140520
62900,77,20140129
62943,76,20140206
62978,84,20140102
63082,72,20140606
63121,72,20140506
63131,72,20140203
63256,73,20140429
63280,79,20140218
63389,69,20140508
63447,84,20140516
63472,78,20140205
63550,70,20140604
63601,77,20140609
63618,84,20140425
63653,71,20140314
63674,62,20140410
63755,82,20140424
63789,80,20140115
63926,83,20140207
63945,77,20140109
64004,80,20140605
64132,71,20140226
64154,50,20140507
64176,72,20140414
64260,82,20140527
64319,80,20140516
64377,77,20140226
64380,81,20140324
64385,84,20140128
64466,81,20140409
64513,82,20140401
64524,78,20140527
64525,78,20140327
64630,83,20140310
64682,84,20140307
64688,70,20140227
64738,83,20140506
64835,75,20140103
64843,80,20140314
64854,84,20140619
64854,80,20140102
64975,71,20140428
64986,84,20140123
65050,78,20140321
65065,76,20140127
65072,79,20140109
65181,80,20140313
65194,79,20140224
65382,82,20140430
65391,81,20140219
65502,81,20140207
65529,80,20140228
65531,70,20140625
65550,81,20140417
65561,70,20140520
65580,80,20140530
65582,84,20140508
65614,75,20140627
65634,79,20140205
65673,82,20140210
65675,78,20140424
65686,82,20140529
65695,84,20140522
65793,83,20140611
65795,80,20140211
65834,81,20140605
65856,79,20140527
65857,70,20140418
65925,84,20140605
66173,83,20140220
66212,80,20140527
66245,74,20140313
66247,83,20140325
66255,84,20140430
66276,78,20140324
66321,72,20140520
66363,79,20140507
66522,81,20140312
66640,76,20140317
66688,72,20140514
66702,81,20140107
66711,72,20140507
66874,72,20140626
66958,66,20140310
66962,82,20140304
66992,83,20140303
67075,83,20140529
67154,70,20140218
67218,82,20140530
67262,69,20140514
67268,66,20140415
67330,77,20140603
67371,75,20140619
67577,65,20140123
67590,82,20140528
67595,75,20140212
67596,71,20140211
67597,81,20140425
67599,84,20140407
67614,75,20140312
67743,84,20140207
67965,81,20140609
67965,81,20140204
68037,74,20140327
68042,81,20140307
68056,78,20140206
68121,75,20140220
68148,84,20140513
68158,81,20140203
68179,71,20140218
68242,80,20140430
68279,80,20140110
68321,76,20140617
68351,82,20140603
68366,81,20140319
68367,74,20140507
68368,84,20140621
68390,74,20140407
68403,77,20140409
68451,78,20140506
68452,79,20140408
68500,79,20140628
68560,75,20140512
68620,84,20140425
68633,46,20140512
68636,84,20140305
68645,76,20140212
68682,68,20140506
68691,82,20140506
68723,73,20140514
68752,81,20140509
68766,76,20140131
68773,84,20140521
68786,75,20140617
68824,82,20140207
68881,80,20140410
68930,78,20140528
69016,76,20140618
69060,79,20140207
69064,74,20140514
69082,78,20140129
69118,76,20140227
69120,66,20140424
69127,83,20140312
69169,81,20140401
69181,84,20140507
69205,82,20140602
69234,69,20140317
69249,75,20140602
69290,75,20140220
69301,73,20140227
69351,80,20140417
69387,74,20140113
69433,80,20140416
69486,73,20140304
69584,71,20140604
69618,79,20140319
69665,84,20140430
69666,84,20140611
69682,82,20140606
69706,69,20140306
69717,81,20140506
69737,79,20140505
69750,78,20140423
69752,73,20140130
69759,82,20140521
69782,79,20140226
69803,82,20140326
69883,72,20140610
69904,79,20140416
69906,84,20140108
69995,77,20140306
70044,63,20140618
70281,71,20140415
70434,83,20140117
70487,82,20140207
70562,73,20140203
70604,84,20140327
70661,80,20140313
70789,80,20140603
70951,69,20140311
70982,84,20140602
71132,81,20140422
71168,82,20140306
71176,67,20140521
71232,82,20140403
71314,61,20140402
71373,68,20140212
71385,79,20140606
71385,67,20140115
71447,77,20140311
71581,71,20140626
71651,79,20140108
71657,72,20140311
71753,83,20140628
71753,83,20140212
71760,82,20140320
71804,80,20140221
71909,84,20140407
71980,72,20140109
72015,71,20140310
72164,78,20140131
73841,84,20140507
73871,83,20140310
73889,59,20140225
73963,77,20140203
74010,77,20140605
74021,82,20140124
74054,84,20140211
74149,84,20140422
74238,83,20140211
74266,66,20140129
74374,82,20140527
74436,83,20140204
74453,84,20140304
74593,73,20140219
74595,76,20140612
74712,81,20140331
74952,83,20140318
75123,75,20140327
75139,82,20140124
75185,76,20140212
75187,80,20140506
75229,82,20140226
75274,80,20140327
75277,81,20140602
75481,72,20140122
75560,78,20140114
75630,76,20140115
75681,78,20140326
75732,68,20140514
75780,83,20140409
75811,73,20140604
75901,74,20140507
75957,83,20140414
76033,76,20140617
76209,77,20140416
76365,76,20140410
76441,82,20140204
76445,73,20140114
76547,74,20140502
76826,84,20140317
76896,83,20140102
76909,79,20140325
76950,67,20140609
76950,70,20140115
77031,78,20140604
77054,70,20140102
77161,84,20140505
77191,81,20140610
77205,81,20140611
77252,75,20140220
77432,83,20140225
77438,78,20140312
77548,82,20140304
77564,69,20140211
77642,82,20140422
77645,81,20140402
77666,80,20140512
77669,80,20140123
77681,81,20140121
77703,78,20140401
77745,81,20140319
77767,82,20140310
77771,81,20140602
77790,67,20140410
77838,83,20140501
78018,83,20140509
78102,74,20140605
78275,80,20140401
78399,77,20140403
78621,82,20140626
78662,84,20140520
78852,79,20140506
